Num_Acc;lum;departement;commune;agglomeration;intersection;meteo;type_collision;lat;long;date
202400000001.0;2;70;70285;1;1;5.0;1.0;47.56277;6.75832;2024-03-25 07:40:00
202400000002.0;1;21;21054;2;3;7.0;6.0;47.02109;4.83755;2024-03-20 15:05:00
202400000003.0;2;15;15012;1;1;1.0;6.0;44.902384;2.496418;2024-03-22 19:30:00
202400000004.0;1;14;14118;2;3;7.0;3.0;49.19166;-0.39851;2024-03-24 17:50:00
202400000005.0;5;13;13106;1;3;2.0;5.0;43.39;5.35;2024-03-25 19:35:00
202400000006.0;5;13;13215;2;2;1.0;3.0;43.34147;5.37306;2024-03-25 04:00:00
202400000007.0;5;13;13201;2;1;1.0;3.0;43.29253;5.37197;2024-03-24 02:45:00
202400000008.0;1;7;7281;2;1;1.0;2.0;44.94319;4.84435;2024-03-24 14:45:00
202400000009.0;3;7;7281;2;1;1.0;6.0;44.92386;4.81623;2024-03-24 03:40:00
202400000010.0;5;6;6088;2;1;1.0;7.0;43.699069;7.2761;2024-03-25 19:50:00
202400000011.0;2;75;75112;2;1;1.0;2.0;48.84046;2.413686;2024-03-24 19:35:00
202400000012.0;3;75;75117;2;1;1.0;7.0;48.895031;2.306589;2024-03-24 01:20:00
202400000013.0;1;75;75119;2;1;1.0;6.0;48.895989;2.374084;2024-03-25 17:40:00
202400000014.0;1;75;75119;2;3;1.0;3.0;48.887588;2.380353;2024-03-25 15:10:00
202400000015.0;1;75;75119;2;3;1.0;1.0;48.895772;2.383612;2024-03-25 09:00:00
202400000016.0;1;75;75118;2;2;1.0;3.0;48.8894654;2.34958917;2024-03-25 13:40:00
202400000017.0;1;75;75117;2;3;1.0;6.0;48.884462;2.294478;2024-03-25 09:00:00
202400000018.0;1;75;75115;2;1;1.0;3.0;48.836521;2.276649;2024-03-25 09:25:00
202400000019.0;1;75;75102;2;2;1.0;6.0;48.866538;2.351145;2024-03-24 13:45:00
202400000020.0;5;94;94003;2;1;1.0;1.0;48.80667297;2.33685409;2024-03-25 20:00:00
202400000021.0;1;94;94022;2;2;1.0;6.0;48.764218;2.405267;2024-03-25 15:37:00
202400000022.0;1;51;51525;1;1;1.0;6.0;48.917254;4.398009;2024-09-19 16:30:00
202400000023.0;1;51;51108;2;2;1.0;3.0;48.969184;4.382671;2024-09-18 18:30:00
202400000024.0;3;47;47001;2;1;1.0;6.0;44.20886;0.6133;2024-09-19 22:42:00
202400000025.0;1;45;45285;2;1;1.0;4.0;47.91537;1.86973;2024-09-19 18:30:00
202400000026.0;1;45;45234;2;1;1.0;6.0;47.89795;1.9114;2024-09-19 17:13:00
202400000027.0;1;44;44109;2;1;1.0;6.0;47.22275;-1.58511;2024-09-19 15:30:00
202400000028.0;1;44;44162;2;1;7.0;6.0;47.21121988;-1.64943399;2024-09-19 09:30:00
202400000029.0;1;42;42330;2;3;1.0;6.0;45.46448;4.36911;2024-09-19 16:20:00
202400000030.0;1;37;37261;2;2;1.0;3.0;47.39355;0.68501;2024-09-18 08:55:00
202400000031.0;5;35;35238;2;1;1.0;3.0;48.11337;-1.6476;2024-09-19 20:45:00
202400000032.0;1;34;34301;1;1;1.0;2.0;43.41766;3.72361;2024-09-19 08:15:00
202400000033.0;1;34;34172;2;3;1.0;6.0;43.609241;3.899127;2024-09-19 11:41:00
202400000034.0;5;33;33063;2;1;1.0;6.0;44.83328;-0.56157;2024-09-19 21:10:00
202400000035.0;1;33;33039;2;3;1.0;3.0;44.8192;-0.53863;2024-09-19 16:00:00
202400000036.0;1;33;33529;2;3;1.0;1.0;44.61047;-1.1247;2024-09-18 12:15:00
202400000037.0;1;29;29051;2;1;1.0;7.0;47.99976064;-4.05189669;2024-09-19 17:00:00
202400000038.0;1;29;29232;1;1;1.0;5.0;48.03157878;-4.0847009;2024-09-19 08:15:00
202400000039.0;1;28;28218;2;3;1.0;3.0;48.43894;1.45835;2024-09-18 14:40:00
202400000040.0;1;27;27681;2;1;1.0;5.0;49.10003;1.47282;2024-09-19 15:30:00
202400000041.0;3;76;76116;2;2;1.0;6.0;49.381011;1.197757;2024-05-03 00:15:00
202400000042.0;1;59;59258;1;1;1.0;3.0;50.528461;3.229428;2024-05-03 17:30:00
202400000043.0;1;94;94022;2;1;1.0;6.0;48.765484;2.409569;2024-03-25 11:44:00
202400000044.0;1;13;13215;1;1;2.0;3.0;43.38322159;5.35134399;2024-05-02 08:20:00
202400000045.0;1;92;92050;2;2;1.0;1.0;48.88632799;2.21105236;2024-03-25 18:45:00
202400000046.0;1;83;83027;1;1;1.0;6.0;43.19282145;5.67970296;2024-05-01 19:40:00
202400000047.0;1;92;92023;2;1;1.0;6.0;48.79936328;2.26319289;2024-03-25 08:42:00
202400000048.0;1;33;33249;1;1;1.0;4.0;44.88827;-0.505076;2024-05-02 15:45:00
202400000049.0;3;35;35276;1;2;1.0;6.0;48.26548685;-1.84038296;2024-03-25 23:00:00
202400000050.0;2;91;91521;1;1;2.0;6.0;48.63558;2.40168;2024-05-02 20:40:00
202400000051.0;2;972;97206;1;1;1.0;7.0;14.48823;-61.035286;2024-03-22 17:00:00
202400000052.0;1;94;94038;1;1;1.0;3.0;48.7828929;2.34713213;2024-05-02 12:20:00
202400000053.0;1;22;22034;1;1;1.0;6.0;48.661408;-3.340171;2024-03-24 07:24:00
202400000054.0;1;94;94003;1;1;1.0;5.0;48.7979586;2.34382693;2024-05-02 08:40:00
202400000055.0;1;92;92026;1;1;2.0;5.0;48.88924861;2.24664633;2024-05-02 16:45:00
202400000056.0;1;78;78640;1;1;8.0;3.0;48.77873;2.22253;2024-05-02 10:49:00
202400000057.0;1;62;62424;2;3;1.0;3.0;50.207004;2.945676;2024-03-26 18:00:00
202400000058.0;1;95;95527;1;1;2.0;2.0;49.00052596;2.52228228;2024-05-02 19:15:00
202400000059.0;1;83;83096;1;1;1.0;3.0;43.462552;5.805985;2024-03-22 13:30:00
202400000060.0;1;95;95306;1;1;1.0;1.0;48.99549387;2.18244976;2024-05-01 18:50:00
202400000061.0;2;35;35173;1;1;1.0;2.0;48.18986357;-1.72171533;2024-03-25 08:11:00
202400000062.0;5;51;51210;2;6;1.0;6.0;49.061074;3.965064;2024-03-25 21:00:00
202400000063.0;1;94;94033;1;1;1.0;2.0;48.84923308;2.49127999;2024-05-02 13:00:00
202400000064.0;1;67;67281;2;1;1.0;3.0;48.157541;7.544373;2024-03-25 16:35:00
202400000065.0;3;77;77468;1;1;1.0;7.0;48.83262;2.66222;2024-05-01 00:15:00
202400000066.0;4;61;61460;2;1;1.0;6.0;48.8951;0.334224;2024-03-24 04:05:00
202400000067.0;3;47;47228;1;1;2.0;6.0;44.34425591;0.70732384;2024-03-25 23:15:00
202400000068.0;5;54;54382;2;3;1.0;3.0;49.54523;5.7843;2024-02-17 19:23:00
202400000069.0;1;34;34013;1;1;3.0;6.0;43.58765;3.456337;2024-03-26 12:20:00
202400000070.0;1;22;22181;1;1;2.0;6.0;48.218447;-3.203169;2024-03-25 18:00:00
202400000071.0;5;988;98818;2;2;1.0;3.0;-22.27444;166.44549;2024-05-01 18:00:00
202400000072.0;2;54;54129;2;2;1.0;3.0;48.5833;6.943762;2024-03-25 18:48:00
202400000073.0;1;987;98735;2;6;1.0;3.0;-17.5381;-149.5646;2024-04-30 15:50:00
202400000074.0;3;974;97416;2;1;1.0;6.0;-21.35266;55.50573;2024-05-01 18:55:00
202400000075.0;1;72;72310;2;9;1.0;3.0;48.034026;0.197325;2024-03-04 14:40:00
202400000076.0;2;974;97411;2;1;1.0;3.0;-20.90076;55.49647;2024-05-01 18:10:00
202400000077.0;1;40;40269;1;1;1.0;5.0;43.60650064;-1.1605823;2024-03-25 16:40:00
202400000078.0;2;69;69142;2;1;3.0;3.0;45.72017;4.81804;2024-05-01 19:45:00
202400000079.0;1;85;85146;2;6;1.0;6.0;46.977724;-1.314123;2024-03-26 14:55:00
202400000080.0;1;85;85192;2;1;1.0;3.0;46.78939;-0.99325;2024-03-23 16:26:00
202400000081.0;1;69;69382;2;1;1.0;6.0;45.75779;4.835;2024-05-01 18:05:00
202400000082.0;1;37;37050;2;2;1.0;6.0;47.34102222;0.72294492;2024-03-22 12:00:00
202400000083.0;3;2B;2B037;2;1;1.0;6.0;42.66;9.441;2024-05-01 02:40:00
202400000084.0;2;10;10142;1;1;1.0;7.0;48.2778;3.8045;2024-03-24 07:15:00
202400000085.0;1;31;31246;1;1;2.0;1.0;43.11299593;0.84459186;2024-03-26 09:28:00
202400000086.0;3;43;43188;1;1;1.0;6.0;45.14306306;3.55995655;2024-03-24 23:50:00
