"Id_accident";"Lettre Conventionnelle Véhicule";"Année";"Lieu Admin Actuel - Territoire Nom";"CNIT";"Catégorie véhicule";"Age véhicule"
"416 873";"A";"2022";"Métropole";"LJ514L30C204";"Moto lourde";"16"
"416 873";"B";"2022";"Métropole";"N/A";"VT";"11"
"416 874";"A";"2022";"Métropole";"MCT5002PC678";"VT";"19"
"416 874";"B";"2022";"Métropole";"MJS1204XD804";"VT";"13"
"416 875";"A";"2022";"Métropole";"M10RENVP316T795";"VT";"8"
"416 876";"A";"2022";"Métropole";"MFD53D2S1744";"VT";"17"
"416 877";"A";"2022";"Métropole";"N/A";"VT";"33"
"416 878";"A";"2022";"Métropole";"M10DACVP001W682";"VT";"2"
"416 879";"A";"2022";"Métropole";"M10PGTVP0484292";"VT";"4"
"416 879";"B";"2022";"Métropole";"N/A";"Moto lourde";"0"
"416 880";"A";"2022";"Autres OM";"N/A";"VT";"24"
"416 880";"B";"2022";"Autres OM";"N/A";"VT";"13"
"416 881";"A";"2022";"Métropole";"M10DACVP001X392";"VT";"2"
"416 881";"B";"2022";"Métropole";"M10RENVPA66W137";"VT";"1"
"416 882";"A";"2022";"Métropole";"N10RENCT423R039";"VU";"6"
"416 883";"A";"2022";"Métropole";"M10MCDVP009P241";"VT";"11"
"416 885";"A";"2022";"Métropole";"MPE5314C4601";"VT";"12"
"416 885";"B";"2022";"Métropole";"MSE5131G7460";"VT";"16"
"416 886";"A";"2022";"Métropole";"M10BMWVP0069017";"VT";"9"
"416 887";"A";"2022";"Métropole";"N/A";"VT";"17"
"416 888";"A";"2022";"Métropole";"N/A";"Moto légère";"31"
"416 889";"A";"2022";"Métropole";"M10RENVP603S737";"VT";"3"
"416 889";"B";"2022";"Métropole";"MSE5532KJ558";"VT";"16"
"416 890";"A";"2022";"Métropole";"MCT5316VB402";"VT";"12"
"416 892";"A";"2022";"Métropole";"M10BMWVP076M262";"VT";"1"
"416 892";"B";"2022";"Métropole";"L3EKWAM2000F119";"Moto lourde";"8"
"416 893";"A";"2022";"Métropole";"N/A";"VT";"1"
"416 894";"A";"2022";"Métropole";"WAU2224F76N1596";"VT";"15"
"416 894";"B";"2022";"Métropole";"M10VWGVPH14X669";"VT";"6"
"416 895";"A";"2022";"Métropole";"MPE5012TA272";"VT";"15"
"416 896";"A";"2022";"Métropole";"N10CTRCT0660050";"VU";"3"
"416 896";"B";"2022";"Métropole";"MPE5002KB793";"VT";"17"
"416 897";"A";"2022";"DOM";"N10RENCT533D340";"VU";"5"
"416 897";"B";"2022";"DOM";"N/A";"VU";"20"
"416 898";"A";"2022";"Métropole";"VF3CCZMZ6FT0387";"VT";"6"
"416 898";"Z";"2022";"Métropole";"M10DAUVS314L154";"VU";"2"
"416 899";"A";"2022";"Métropole";"N10RENCT0183651";"VU";"9"
"416 900";"A";"2022";"Autres OM";"N/A";"VT";"23"
"416 901";"A";"2022";"Métropole";"MPE1102KG642";"VT";"20"
"416 903";"A";"2022";"Métropole";"M10DACVP0001663";"VT";"8"
"416 903";"B";"2022";"Métropole";"M10CPFVP000M243";"VT";"4"
"416 904";"A";"2022";"Autres OM";"N/A";"VT";"0"
"416 904";"B";"2022";"Autres OM";"N/A";"VT";"11"
"416 904";"C";"2022";"Autres OM";"N/A";"Cyclo";"0"
"416 905";"A";"2022";"Métropole";"M10RENVP3210894";"VT";"8"
"416 905";"B";"2022";"Métropole";"M1GAUDVP011S645";"VT";"6"
"416 906";"A";"2022";"Métropole";"LJH14L30P123";"Moto lourde";"14"
"416 907";"A";"2022";"Métropole";"N/A";"Moto lourde";"5"
"416 908";"A";"2022";"Métropole";"MRE1002E6996";"VT";"19"
"416 909";"A";"2022";"Métropole";"N/A";"VT";"17"
"416 909";"B";"2022";"Métropole";"M10PGTVP002U971";"VT";"9"
"416 909";"C";"2022";"Métropole";"M10RENVPA394594";"VT";"2"
"416 909";"D";"2022";"Métropole";"M10PGTVP0455853";"VT";"5"
"416 910";"A";"2022";"Autres OM";"MJT8824QV903";"VT";"19"
"416 911";"A";"2022";"Métropole";"N/A";"VT";"19"
"416 912";"A";"2022";"Métropole";"M10FRDVP003U051";"VT";"10"
"416 912";"B";"2022";"Métropole";"N/A";"VT";"17"
"416 913";"A";"2022";"Métropole";"N/A";"Autres";"N/A"
"416 913";"B";"2022";"Métropole";"N/A";"Autres";"N/A"
"416 914";"A";"2022";"Métropole";"LKW1AN40A118";"Moto lourde";"19"
"416 915";"A";"2022";"Métropole";"N/A";"VU";"N/A"
"416 916";"A";"2022";"Métropole";"N/A";"VT";"14"
"416 917";"A";"2022";"Métropole";"N/A";"Autres";"0"
"416 918";"A";"2022";"Métropole";"MPL1162N1029";"VT";"19"
"416 919";"A";"2022";"Métropole";"M10RENVP448M013";"VT";"7"
"416 919";"B";"2022";"Métropole";"N/A";"Cyclo";"20"
"416 920";"A";"2022";"Métropole";"L3EBNLM1000N196";"Moto lourde";"1"
"416 920";"B";"2022";"Métropole";"M10PGTVP000R326";"VT";"12"
"416 921";"A";"2022";"Métropole";"LYM92E20V267";"Moto légère";"12"
"416 921";"B";"2022";"Métropole";"M10MCDVPVJ7J626";"VT";"5"
"416 922";"A";"2022";"Métropole";"N/A";"Cyclo";"8"
"416 923";"A";"2022";"Autres OM";"N/A";"VT";"14"
"416 924";"A";"2022";"Métropole";"L3EPGGML000F953";"Moto légère";"2"
"416 926";"A";"2022";"Métropole";"L3EKTMML0009218";"Moto légère";"2"
"416 927";"A";"2022";"Métropole";"L5EPGGTM0008347";"Moto lourde";"8"
"416 928";"A";"2022";"Métropole";"M10SETVP003X293";"VT";"6"
"416 928";"B";"2022";"Métropole";"N/A";"Moto lourde";"33"
"416 929";"A";"2022";"Métropole";"M10PGTVP071E484";"VT";"3"
"416 930";"A";"2022";"Métropole";"MPE5211TP268";"VT";"15"
"416 930";"B";"2022";"Métropole";"M10CTRVP001A092";"VT";"9"
"416 931";"A";"2022";"Métropole";"MRE1301AN831";"VT";"21"
"416 932";"A";"2022";"Métropole";"JS1AP1111001034";"Moto légère";"23"
"416 933";"A";"2022";"Métropole";"L3ETPHM2000C470";"Moto lourde";"8"
